item-id,item-name,item-description,project-group,project-name,order,year-start,year-end,github-repo,github-oldcode,has-content,_db: access,_db: sql_server,_db: mysql,_db: mongodb,_ft: asp,_ft: aspnet,_ft: django,_ft: express,_ft: angular,_ft: slim,_ln: html,_ln: css,_ln: sass,_ln: python,_ln: java,_ln: php,_ln: bash,_ln: vbnet,_ln: c_sharp,_ln: sql,_ln: javascript,_ln: ruby,_ln: typescript,_ln: yaml,_ln: vbscript,_ln: vimscript,_ln: c,_ln: mumps
kronofoto_ng,kronofoto-ng,Angular-based front-end for a digital image archive,dpa,,74,2018,9999,kronofoto-ng,,1,,,,,,,,,1,,1,1,1,,,,,,,,,,1,,,,,
kronofoto_api,kronofoto-api,REST API for a digital image archive ,dpa,,73,2018,9999,kronofoto-api,,,,,1,,,,,,,1,,,,,,1,,,,1,,,,,,,,
kronofoto_admin,kronofoto-admin,Digital image archive management system,dpa,,72,2015,9999,kronofoto-admin,,1,,,1,,,,1,,,,1,1,,1,,,,,,1,,,,,,,,
ic4f_ng,icode4.fun-ng,Angular-based front-end for this website ,play,,71,2018,9999,ic4f-ng,,,,,,,,,,,1,,1,1,1,,,,,,,,,,1,,,,,
ic4f_api,icode4.fun-api,REST API + data loading utilities for this website ,play,,70,2017,9999,ic4f-api,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,
alinaavanesyan,alinaavanesyan.com,"Alina's Jekyll-based website, and a few content-generating scripts",play,,69,2017,2017,alina,,1,,,,,,,,,,,1,1,1,,,,,,,,1,1,,1,,,,
fortepan_iowa,Fortepan Iowa ,Digital photo archive: front-end and back-end (current live version),dpa,,68,2014,9999,,,1,,,1,,,,,,,,1,1,,1,,1,1,,,1,1,,,,,,,
vim_journal,Vim-journal,Vim plugin for journal-style note taking,vim,,67,2017,2017,vim-journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
vim_timestamp,Vim-timestamp,A Vim filetype plugin for timestamping .vim files,vim,,66,2017,2017,vim-timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
vim_write,Vim-write,Vim plugin for switching to minimalist writing mode,vim,,65,2017,2017,vim-write,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
sergeycsuniedu,sergey.cs.uni.edu,My academic website (a simple front-controller architecture for file-based content),play,,64,2015,2015,sergey.cs.uni.edu,,1,,,,,,,,,,,1,1,,1,,1,1,,,,,,,,,,,
phd,Ph.D. research,Large-scale text reuse detection/basic sentiment analysis (collect and analyze data challenging an existing social science theory),ir,,62,2013,2014,phd-code,,1,,,1,,,,,,,,1,1,,1,,,1,,,1,,,,,,,,
avocado,Avocado research email collection,Processing pipeline for building a corpus of emails and attachments (2 million items) based on PST files of a defunct IT company,ir,,61,2011,2012,pluto,,1,,,1,,,,,,,,1,1,,1,1,1,1,,,1,1,,,,,,,
lordofthewebs,lordofthewebs.com,"My personal website (a testing ground for languages, frameworks and whatnot)",play,,60,2002,2012,,,1,,1,,,1,1,,,,,1,1,,,,1,,,1,1,1,,,,1,,,
prsa,PRSSA web apps,"Misc. web systems for the Public Relations Society of America: content management, job apps, blogs, forums, event registration/scheduling...",cms,,59,2001,2010,,,1,,1,,,1,1,,,,,1,1,,,,,,,1,1,1,,,,1,,,
twitter_crawler,Twitter crawler/IE,Twitter crawler + information extraction. Developed as part of a research project combining sentiment analysis with social network theory,ir,,58,2009,2009,,2009-twitter-crawler,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,
codegenerator,Code generator (M.S. research),Object-relational mapper and code generator (specification and generation of the data layer of data-driven web apps),compiler,,57,2006,2008,codegenerator,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ir_uni,IR project/UNI,"Web crawling, indexing, PageRank and HITS calculation, retrieval, search UI",ir,,56,2007,2007,,2007-ir-crawl-index-search,,,1,,,,1,,,,,1,1,,,,,,,1,1,1,,,,,,,
uni_accounts,UNI Foundation Accounts,University Foundation account reporting system (+ multiple derivative systems),cms,,55,2003,2008,,,1,,1,,,,1,,,,,1,1,,,,,,1,1,1,1,,,,,,,
uni_foundation,UNI Foundation CMS,"Content management system + website. File manager, hierarchical content model, fine-grained authorization model",cms,,54,2008,2008,,2008-uni-foundation-cms,1,,1,,,,1,,,,,1,1,,,,,,1,1,1,1,,,,,,,
witness_id,Eyewitness identification,Research project: web-based eyewitness identification system for lineup construction and administration,cms,,53,2006,2008,,2008-eyewitness-identification,,,1,,,,1,,,,,1,1,,,,,,,1,1,1,,,,,,,
blog_crawler,Blog crawler (M.A. research),Constructed a directed graph of topic-specific blogs posts (collected data used to challenge an existing social science theory),ir,,52,2007,2007,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,
uni_csbs,UNI College of Social & Behavioral Sciences,Website with content management: several content types and basic user authentication (2 versions: ASP/Access; rewritten in PHP/MySQL),cms,,50,2005,2007,,,,1,,1,,1,,,,,,1,1,,,,1,,,,1,1,,,,1,,,
ir_asu,IR project,"Indexing, PageRank and HITS calculation, retrieval, clustering, algorithm analysis, search UI ",ir,,49,2007,2007,,2007-ir-algorithm-analysis,,,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,
datamining_asu,KNN/Wikipedia text classification,Application of k-nearest neighbors algorithm to classifying Wikipedia pages,ir,,48,2007,2007,,2007-knn-wikipedia-classifier,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
